CustomerID,ProductID,Product,Category,Quantity,Date,Time,Price 
16873,103,Stainless Steel Water Bottle,Sports,1,01-01-2025,13:00:13,400
34276,112,Ergonomic Memory Foam Pillow,Home Decor,1,01-01-2025,13:49:07,1300
27262,113,Resistance Bands Set,Sports,1,01-01-2025,14:04:58,1400
51434,123,Hard Shell Travel Suitcase,Fashion,5,01-01-2025,10:17:51,2400
54732,126,Wireless Computer Keyboard & Mouse,Electronics,5,01-01-2025,09:12:29,2700
34253,132,Premium Denim Jacket,Fashion,3,01-01-2025,13:43:32,3300
24541,138,Camping Tent (2-Person),Sports,4,01-01-2025,12:06:44,3900
28942,139,Stainless Steel Chronograph Watch,Watches,3,01-01-2025,10:24:49,4000
31243,144,Luxury Perfume Gift Pack,Beauty,4,01-01-2025,14:13:56,4500
49188,164,Modern Upholstered Armchair,Furniture,3,01-01-2025,09:52:21,6500
28431,180,Leather-Bound Classic Literature Anthology,Books,5,01-01-2025,10:27:36,8100
58984,180,Leather-Bound Classic Literature Anthology,Books,5,01-01-2025,14:31:44,8100
48044,203,Dive Watch 200m Water Resistant,Watches,4,01-01-2025,14:25:25,10400
43763,215,Outdoor Waterproof Bluetooth Speaker,Electronics,4,01-01-2025,13:14:39,11600
21394,218,Ultrasonic Skin Scrubber & Lift Device,Beauty,1,01-01-2025,10:52:30,11900
11021,224,Diamond Accent Promise Ring,Jewellery,2,01-01-2025,12:34:17,12500
36557,225,Robot Vacuum Cleaner,Electronics,3,01-01-2025,13:12:47,12600
21534,236,Embroidered Designer Sherwani,Fashion,1,01-01-2025,13:24:12,13700
53573,247,Sculptural Floor Water Fountain,Home Decor,5,01-01-2025,12:42:47,14800
26850,249,Heavy Duty Olympic Weight Bench,Sports,4,01-01-2025,09:17:07,15000
50757,250,Signed Poetry Anthology Collection,Books,4,01-01-2025,12:47:12,15100
18433,251,Marble Top Side Table,Furniture,1,01-01-2025,11:31:22,15200
59216,254,Opal Statement Ring,Jewellery,2,01-01-2025,14:27:40,15500
36531,256,Italian Leather Travel Duffel,Fashion,2,01-01-2025,12:14:33,15700
31271,259,Inflatable Stand-Up Paddleboard,Sports,2,01-01-2025,14:07:59,16000
15675,261,Sheesham Wood Dining Table (4-Seater),Furniture,4,01-01-2025,13:03:44,16200
50774,278,Anti-Cellulite Body Sculpting Device,Beauty,2,01-01-2025,14:36:09,17900
53021,285,Dolby Atmos Soundbar System,Electronics,4,01-01-2025,11:26:16,18600
39127,286,Designer Velvet Jacket,Fashion,5,01-01-2025,13:29:53,18700
11685,301,Sheesham Wood King Bed Frame,Furniture,4,01-01-2025,09:39:52,20200
33897,313,Sapphire Crystal Automatic Watch,Watches,1,01-01-2025,11:39:21,21400
24502,331,Solid Oak Dining Table (6-Seater),Furniture,2,01-01-2025,11:12:15,23200
11585,335,OLED Smart TV (43-inch),Electronics,3,01-01-2025,12:18:28,23600
45773,342,Carbon-Fiber Running Shoes,Shoes,4,01-01-2025,10:43:58,24300
34300,353,Skeleton Automatic Watch,Watches,2,01-01-2025,13:58:11,25400
19268,363,GMT Automatic Steel Watch,Watches,1,01-01-2025,14:06:46,26400
29769,377,Hand-Woven Wool Rug,Home Decor,2,01-01-2025,10:02:02,27800
31962,379,Heavy-Duty Multi-Gym Setup,Sports,1,01-01-2025,09:25:34,28000
23417,381,Sheesham Dining Set (6-Seater),Furniture,4,01-01-2025,12:45:14,28200
54131,388,Facial Contour Tightening Machine,Beauty,3,01-01-2025,09:29:43,28900
33247,395,Full-Frame Mirrorless Camera Body,Electronics,2,01-01-2025,13:53:43,29600
20627,401,Walnut Wood Credenza,Furniture,3,01-01-2025,11:19:05,30200
15311,406,Handcrafted Leather Travel Bag,Fashion,5,01-01-2025,09:45:29,30700
11899,417,Large Marble Statue,Home Decor,4,01-01-2025,10:46:28,31800
58555,418,Advanced Skincare Treatment Console,Beauty,3,01-01-2025,11:50:52,31900
47194,424,Diamond Eternity Band,Jewellery,3,01-01-2025,09:19:38,32500
22185,424,Diamond Eternity Band,Jewellery,2,01-01-2025,14:10:15,32500
18571,432,Custom Leather Dress Boots,Shoes,3,01-01-2025,14:21:35,33300
18529,458,Professional LED Skincare Console,Beauty,4,01-01-2025,14:03:06,35900
12433,461,Teak Wood Study Unit,Furniture,4,01-01-2025,09:43:06,36200
47819,476,Designer Leather Trench Coat,Fashion,2,01-01-2025,09:50:09,37700
29457,478,RF Skin Care Station,Beauty,1,01-01-2025,12:29:35,37900
11016,479,All-Terrain Electric Bike,Sports,2,01-01-2025,13:38:31,38000
37480,482,Custom Leather Shoes,Shoes,1,01-01-2025,10:13:59,38300
19692,488,Salon Skincare Machine,Beauty,3,01-01-2025,12:50:27,38900
12568,498,Professional RF Facial Machine,Beauty,2,01-01-2025,14:37:56,39900
35851,500,Historic Manuscript Box Set,Books,5,01-01-2025,13:35:17,40100
27159,502,Custom Molded Leather Boots,Shoes,4,01-01-2025,11:55:24,40300
10860,506,Tailored Cashmere Coat,Fashion,5,01-01-2025,09:04:38,40700
33483,512,Bespoke Italian Loafers,Shoes,4,01-01-2025,11:46:10,41300
13943,519,Smart Incline Exercise Bike,Sports,2,01-01-2025,12:22:37,42000
40740,524,Emerald Gold Earrings,Jewellery,4,01-01-2025,11:08:28,42500
47065,541,Teak Wood Recliner Chair,Furniture,1,01-01-2025,13:11:03,44200
18792,543,Skeleton Dial Titanium Watch,Watches,1,01-01-2025,11:20:36,44400
16396,547,Handwoven Wool Carpet,Home Decor,2,01-01-2025,10:09:14,44800
11267,549,Commercial Gym Setup,Sports,1,01-01-2025,10:48:22,45000
49099,552,Handcrafted Leather Loafers,Shoes,2,01-01-2025,14:18:36,45300
21653,568,Laser Hair Therapy Console,Beauty,2,01-01-2025,12:37:51,46900
38693,573,Swiss Automatic Chronograph Watch,Watches,2,01-01-2025,10:07:06,47400
55758,576,Custom Silk Suit,Fashion,1,01-01-2025,12:55:37,47700
33939,577,Persian Silk Area Rug,Home Decor,4,01-01-2025,12:25:32,47800
50397,577,Persian Silk Area Rug,Home Decor,2,01-01-2025,13:31:49,47800
29118,581,Oak Wood Executive Desk Set,Furniture,3,01-01-2025,10:38:54,48200
12612,586,Tailored Leather Jacket,Fashion,5,01-01-2025,11:43:36,48700
48158,587,Brass Decor Mirror,Home Decor,2,01-01-2025,09:06:40,48800
21284,601,Solid Teak Wood Sofa Set,Furniture,4,01-01-2025,09:13:44,50200
51606,605,Ultra HD 8K Smart TV,Electronics,4,01-01-2025,11:06:20,50600
21016,619,All-Terrain Smart Electric Bike,Sports,4,01-01-2025,11:35:33,52000
41551,631,Sheesham Wood Dining Set (8-Seater),Furniture,5,01-01-2025,10:49:29,53200
27568,633,Swiss Automatic Skeleton Dial Watch,Watches,1,01-01-2025,09:56:57,53400
53001,634,Ruby & Diamond Accent Gold Necklace,Jewellery,2,01-01-2025,11:32:36,53500
50994,635,High-Performance Studio Workstation,Electronics,2,01-01-2025,12:03:41,53600
53323,638,RF Facial Therapy Spa Console,Beauty,5,01-01-2025,11:22:52,53900
42606,639,Heavy-Duty Smart Treadmill,Sports,5,01-01-2025,13:18:16,54000
35658,641,Walnut Executive Office Desk Unit,Furniture,2,01-01-2025,10:22:46,54200
49976,649,Commercial Gym Cardio Station,Sports,4,01-01-2025,14:23:04,55000
51090,653,Titanium Chronograph Swiss Watch,Watches,5,01-01-2025,09:36:07,55400
25795,655,OLED 4K Smart TV (85-inch),Electronics,3,01-01-2025,09:00:00,55600
10769,671,Solid Oak Wardrobe Closet Unit,Furniture,2,01-01-2025,09:41:02,57200
26023,675,High-End Studio Camera Telephoto Lens,Electronics,4,01-01-2025,09:33:36,57600
31777,675,High-End Studio Camera Telephoto Lens,Electronics,4,01-01-2025,11:17:00,57600
13890,678,Professional RF Beauty Treatment Device,Beauty,4,01-01-2025,11:03:10,57900
10189,683,Titanium Automatic GMT Watch,Watches,1,01-01-2025,10:36:49,58400
